BRAND, PRODUCT NAME, SHIPPING
ASRock,ASRock Challenger D Radeon RX 5600 XT RX5600XT CLD 6GO 6GB (14Gbps) 192-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready Video Card,$3.99 Shipping
ASUS,ASUS GeForce GTX 1050 CERBERUS-GTX1050-O2G 2GB 128-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,Free Shipping
MSI,MSI Radeon RX 5700 DirectX 12 RX 5700 8G 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,Free Shipping
Sapphire Tech,Sapphire PULSE Radeon RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI) | 100411P8GOCL,Free Shipping
ASRock,ASRock Challenger Pro Radeon RX 5700 XT DirectX 12 RX5700XT CLP 8GO 8GB 256-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready Video Card,$3.99 Shipping
ASUS,ASUS Dual GeForce RTX 2060 DirectX 12 DUAL-RTX2060-A6G 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,Free Shipping
EVGA,EVGA GeForce GT 1030 DirectX 12 02G-P4-6232-KR 2GB 64-Bit SDDR4 PCI Express 3.0 Low Profile Ready Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TWF2OC-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,Free Shipping
MSI,MSI Radeon RX 5700 DirectX 12 RX 5700 GAMING X 8GB 256-Bit GDDR6 PCI Express 4.0 HDCP Ready CrossFireX Support Video Card,Free Shipping
EVGA,EVGA GeForce GT 730 DirectX 12 02G-P3-2732-KR 2GB 128-Bit DDR3 PCI Express 2.0 Low Profile Video Card,Free Shipping
ASUS,ASUS Phoenix GeForce GTX 1660 Ti PH-GTX1660TI-O6G 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2080 SUPER DirectX 12 GV-N208STURBO-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,Free Shipping
ASUS,ASUS Dual GeForce GTX 1660 Ti DUAL-GTX1660TI-O6G 6GB 192-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,Free Shipping
ZOTAC,ZOTAC ZT-T16500H-10L GEFORCE GTX1650 LP 4GB GDDR5,Free Shipping
